article_sku;category_name;foreign_key_sql
5374836043;Womens Swimsuit Bottoms;(SELECT uuid FROM subcategory WHERE category_name='Womens Swimsuit Bottoms')
5492294359;All Baseball Gear & Equipments;(SELECT uuid FROM subcategory WHERE category_name='All Baseball Gear & Equipments')
2354001915;Shop Curtains;(SELECT uuid FROM subcategory WHERE category_name='Shop Curtains')
121961080;Mens Workout Shirts;(SELECT uuid FROM subcategory WHERE category_name='Mens Workout Shirts')
348114719;Mens Workout Shirts;(SELECT uuid FROM subcategory WHERE category_name='Mens Workout Shirts')
156310639;Womens Tank Tops;(SELECT uuid FROM subcategory WHERE category_name='Womens Tank Tops')
5494180543;All Baseball Gear & Equipments;(SELECT uuid FROM subcategory WHERE category_name='All Baseball Gear & Equipments')
2720154126;Womens Tank Tops;(SELECT uuid FROM subcategory WHERE category_name='Womens Tank Tops')
5242338628;Plus Size Tops;(SELECT uuid FROM subcategory WHERE category_name='Plus Size Tops')
1445507060;Bikinis;(SELECT uuid FROM subcategory WHERE category_name='Bikinis')
33685485;Maybelline Lip Makeup;(SELECT uuid FROM subcategory WHERE category_name='Maybelline Lip Makeup')
3572144286;Mens Polo Shirts;(SELECT uuid FROM subcategory WHERE category_name='Mens Polo Shirts')
517880131;Shop All Patio Furniture;(SELECT uuid FROM subcategory WHERE category_name='Shop All Patio Furniture')
890933549;Plus Size Tshirts;(SELECT uuid FROM subcategory WHERE category_name='Plus Size Tshirts')
228477707;Mens Multivitamins;(SELECT uuid FROM subcategory WHERE category_name='Mens Multivitamins')
5663974279;Conditioning Hair Color;(SELECT uuid FROM subcategory WHERE category_name='Conditioning Hair Color')
5258541526;Womens Flip Flops;(SELECT uuid FROM subcategory WHERE category_name='Womens Flip Flops')
1204774750;Womens Dress Boots;(SELECT uuid FROM subcategory WHERE category_name='Womens Dress Boots')
5172205930;Orthopedic Dog Beds;(SELECT uuid FROM subcategory WHERE category_name='Orthopedic Dog Beds')
